what are bigos?	["Stew"]	["Polish food"]
who played kirk?	["Jimmy Bennett", "Chris Pine", "William Shatner"]	["William Shatner", "Chris Pine", "Jimmy Bennett"]
what did romo do?	["Baseball player"]	["Denmark"]
what does sarabi?	["Physician"]	["The Lion King", "The Lion King"]
who is rick scott?	["Investor", "Businessperson", "Politician", "Lawyer"]	["Businessperson", "Lawyer", "Politician", "Investor"]
who did lbj marry?	["Lady Bird Johnson"]	["Lady Bird Johnson"]
who was dan white?	["Firefighter", "Politician", "Police officer"]	["Politician", "Police officer", "Firefighter"]
who plays kenneth?	["Jack McBrayer"]	["Jack McBrayer"]
what did hayes do?	["President of the United States", "Governor of Ohio"]	["Myocardial infarction"]
what does gm make?	["Automobile"]	["Grumman TBF Avenger", "Fisher P-75 Eagle"]
who played jeannie?	["Barbara Eden"]	["Barbara Eden", "Barton MacLane", "Vinton Hayworth", "Hayden Rorke", "Larry Hagman", "Bill Daily", "Emmaline Henry"]
who inspired obama?	["Saul Alinsky", "Nipsey Russell"]	["Craig McKenzie"]
what is new france?	["North America"]	["Les Mis\u00e9rables"]
who created arthur?	["WGBH", "Marc Brown"]	[]
who plays voldemort?	["Richard Bremmer", "Frank Dillane", "Ralph Fiennes", "Hero Fiennes-Tiffin", "Christian Coulson"]	["Ralph Fiennes", "Richard Bremmer", "Frank Dillane", "Christian Coulson", "Hero Fiennes-Tiffin"]
who is ruling libya?	["Mohammed Magariaf"]	["Muammar al-Gaddafi", "Abdul Hafiz Ghoga", "Mustafa Abdul Jalil", "Baghdadi Mahmudi", "Mohammed Ali Salim", "Abdessalam Jalloud", "Abdurrahim El-Keib", "Mustafa A.G. Abushagur", "Mohammed Magariaf", "Mahmud Sulayman al-Maghribi", "Ali Zeidan", "Mahmoud Jibril", "Ali Tarhouni", "Mohamed Abdelaziz"]
who founded the kkk?	["Albert Pike", "David Duke", "William Joseph Simmons"]	["Albert Pike", "William Joseph Simmons", "David Duke"]
who founded the afl?	["Bud Adams"]	["Lamar Hunt", "Bud Adams"]
who is jimmy savile?	["Presenter"]	["Presenter", "Disc jockey"]
what was john tyler?	["President of the United States"]	["Lawyer", "Politician"]
who won fa cup 1976?	["Manchester United F.C."]	["Manchester City F.C.", "Sunderland A.F.C.", "Leeds United A.F.C.", "Coventry City F.C.", "Liverpool F.C.", "Manchester United F.C.", "West Ham United F.C.", "Tottenham Hotspur F.C.", "Arsenal F.C.", "Everton F.C.", "Chelsea F.C.", "West Bromwich Albion F.C.", "Portsmouth F.C.", "Ipswich Town F.C.", "Wimbledon F.C.", "Southampton F.C."]
what fma stands for?	["FullMetal Alchemist"]	["Isaac Newton"]
when tupac was shot?	["Tupac 1994 assault"]	["Las Vegas"]
who was kate chopin?	["Writer"]	["Businessperson", "Novelist", "Writer", "Author"]
when did annie open?	["Annie (1977 original Broadway cast)"]	["1977-04-21"]
who was vp for nixon?	["Spiro Agnew", "Gerald Ford"]	["Dwight D. Eisenhower"]
what do see in paris?	["Mus\u00e9e Maillol", "Palace of Versailles", "Eiffel Tower", "\u00cele de la Cit\u00e9", "Caf\u00e9 Volpini", "Notre Dame de Paris", "Folies Berg\u00e8re", "Arc de Triomphe", "Basilica of the Sacr\u00e9 C\u0153ur", "Panth\u00e9on, Paris"]	["Palais de Chaillot", "Tuileries Garden", "Parc de la Villette", "Bois de Vincennes", "Gare de Parc de Sceaux", "Bois de Boulogne", "Jardin du Luxembourg"]
where is kansas city?	["Platte County"]	["Missouri", "United States of America", "Area code 816", "Area code 913"]
